Users,,,
,,,
,column name,data type,details
,id,integer,"not null, primary key"
,email,string,"not null, indexed, unique"
,password_digest,string,not null
,session_token,string,"not null, indexed, unique"
,created_at,datetime,not null
,updated_at,datetime,not null
,,,
,,,
Notes,,,
,column name,data type,details
,id,integer,"not null, primary key"
,author_id,integer,"not null, indexed, foreign key"
,notebook_id,integer,foreign key
,title,string,
,body,string,
,created_at,datetime,not null
,updated_at,datetime,not null
,,,
Notebooks,,,
,column name,data type,details
,id,integer,"not null, primary key"
,author_id,integer,"not null, indexed, foreign key"
,title,string,"not null, indexed"
,created_at,datetime,not null
,updated_at,datetime,not null
,,,
Tags,,,
,column name,data type,details
,id,integer,"not null, primary key"
,author_id,integer,"not null, indexed, foreign key"
,name,string,"not null, indexed"
,created_at,datetime,not null
,updated_at,datetime,not null
